ISBN,Title,Author,Year,Publisher,stemmed_title,lemmatized_title,Title_stem,Author_stem,Publisher_stem,Year_stem
1555442153,The Little SAS Book: A Primer,Lora D. Delwiche,1995,"SAS Institute, Incorporated",the littl sa book : a primer,the littl sa book : a primer,:,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0787108960,The Hitchhiker's Guide to the Galaxy: Live in Concert,Douglas Adams,1996,Audio Literature,the hitchhik 's guid to the galaxi : live in concert,the hitchhik 's guid to the galaxi : live in concert,'s to the : in,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0140384510,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1997,Speak,"roll of thunder , hear my cri","roll of thunder , hear my cri","of ,",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
0821760432,Night Fires (Zebra Splendor Historical Romances),Linda Cook,1998,Zebra Books,night fire ( zebra splendor histor romanc ),night fire ( zebra splendor histor romanc ),( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0875966225,"Nature Crafts for Christmas: A Step-By-Step Guide to Making Wreaths, Ornaments & Decorations",Dawn Cusick,1994,St Martins Pr,"natur craft for christma : a step-by-step guid to make wreath , ornament & decor","natur craft for christma : a step-by-step guid to make wreath , ornament & decor","for : to , &",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0061041289,"The Red, White, and Blues",Rob Kantner,1993,Harper Mass Market Paperbacks (Mm),"the red , white , and blue","the red , white , and blue",", , and",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0385333498,The Sirens of Titan,Kurt Vonnegut,1998,Delta Trade Paperbacks,the siren of titan,the siren of titan,of,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0671536214,God on a Harley: A Spiritual Fable,Joan Brady,1995,Pocket Books,god on a harley : a spiritu fabl,god on a harley : a spiritu fabl,on a :,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0441322387,"Heathcliff Round Three, No. 8 (Heathcliff Round Three)",George Gately,1986,Ace Books,"heathcliff round three , no . 8 ( heathcliff round three )","heathcliff round three , no . 8 ( heathcliff round three )",", . 8 ( )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0134709144,The International Money Market (Research Studies in Accounting),Gunter Dufey,1978,Prentice Hall,the intern money market ( research studi in account ),the intern money market ( research studi in account ),( in ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0310227941,My American Adventure,Amy Burritt,1998,Zondervan,my american adventur,my american adventur,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0451171810,The Dark Half,Stephen King,1994,Signet,the dark half,the dark half,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0671006614,TEARS OF RAGE,John Walsh,1997,Atria,tear of rage,tear of rage,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
0060176598,Running from the Law,Lisa Scottoline,1995,Harpercollins,run from the law,run from the law,from the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0879239360,Whoever Finds This: I Love You,Faye Moskowitz,1992,David R. Godine Publisher,whoever find thi : i love you,whoever find thi : i love you,:,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0710625820,Jane's Police Handbooks: Scottish Beat Officer's Companion,Janes Information Group,2004,Jane's Information Group,jane 's polic handbook : scottish beat offic 's companion,jane 's polic handbook : scottish beat offic 's companion,'s : 's,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
0060175648,Identity,Milan Kundera,1998,Harpercollins,ident,ident,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0060182369,Come to Me: Stories,Amy Bloom,1993,Harpercollins,come to me : stori,come to me : stori,to :,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0262021285,A sense of the future: Essays in natural philosophy,Jacob Bronowski,1977,MIT Press,a sens of the futur : essay in natur philosophi,a sen of the futur : essay in natur philosophi,of the : in,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0330021095,The Eighth Galaxy Reader,Frederik Pohl,1968,Pan Macmillan,the eighth galaxi reader,the eighth galaxi reader,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3453870883,Airport,Arthur Hailey,2003,Heyne,airport,airport,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1585673781,What If Our World Is Their Heaven? The Final Conversations Of Philip  K. Dick,Gwen Lee,2003,Overlook Press,what if our world is their heaven ? the final convers of philip k. dick,what if our world is their heaven ? the final convers of philip k. dick,?,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
0140068937,Death of an Englishman,Magdalen Nabb,1984,Penguin USA,death of an englishman,death of an englishman,of an,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8433914995,El Diccionario de Lempriere,Lawrence Norfolk,1998,Anagrama,el diccionario de lemprier,el diccionario de lemprier,de,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0821712977,Passion's Slave,Kay Mc Mahon,1983,Kensington Pub Corp (Mm),passion 's slave,passion 's slave,'s,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0373169930,"Courted By A Cowboy : Texas Sweethearts (Harlequin American Romance, 993)",Mindy Neff,2003,Harlequin,"court by a cowboy : texa sweetheart ( harlequin american romanc , 993 )","court by a cowboy : texa sweetheart ( harlequin american romanc , 993 )",": ( , 993 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
091912304X,Alchemy : An Introduction to the Symbolism and the Psycholog,Marie-Louise Von Franz,1981,Inner City Books,alchemi : an introduct to the symbol and the psycholog,alchemi : an introduct to the symbol and the psycholog,: to the and the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1565121635,My Life As a Boy,Kim Chernin,1997,Algonquin Books of Chapel Hill,my life as a boy,my life a a boy,a,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
0061011843,Driving Under the Affluence,Julia Phillips,1997,Harper Mass Market Paperbacks (Mm),drive under the affluenc,drive under the affluenc,the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
0553375644,"Final Rounds : A Father, A Son, The Golf Journey Of A Lifetime",JAMES DODSON,1997,Bantam,"final round : a father , a son , the golf journey of a lifetim","final round : a father , a son , the golf journey of a lifetim",": , ,",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
3351029411,Fingerkraut und Feenhandschuh. Sonderausgabe. Ein literarisches Gartentagebuch.,Barbara Frischmuth,2002,Aufbau-Verlag,fingerkraut und feenhandschuh . sonderausgab . ein literarisch gartentagebuch .,fingerkraut und feenhandschuh . sonderausgab . ein literarisch gartentagebuch .,und . . .,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
0071416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,McGraw-Hill,team bush : leadership lesson from the bush white hous,team bush : leadership lesson from the bush white hous,: from the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1850573506,The Hell-Cat and the King (Magna Large Print Series),Barbara Cartland,1989,MacMillan Publishing Company.,the hell-cat and the king ( magna larg print seri ),the hell-cat and the king ( magna larg print seri ),and the ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1401202101,Lucifer : Inferno (Lucifer),Mike Carey,2004,DC Comics,lucif : inferno ( lucif ),lucif : inferno ( lucif ),: ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
2266036009,La Vengeance du Manitou,Graham Masterton,1998,Presses Pocket,la vengeanc du manit,la vengeanc du manit,du,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
3426701650,Die Obsidian- Chroniken 02. Die DrachenbrÃ?Â¼der.,Lawrence Watt-Evans,2001,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co.",die obsidian- chroniken 02 . die drachenbrã ? â¼der .,die obsidian- chroniken 02 . die drachenbrã ? â¼der .,02 . ? .,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
0853426872,Bobby Sands and the tragedy of Northern Ireland,John M Feehan,1983,Mercier Press,bobbi sand and the tragedi of northern ireland,bobbi sand and the tragedi of northern ireland,and the of,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0020346212,On Food And Cooking,Harold J. Mcgee,1988,Scribner,on food and cook,on food and cook,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0505523086,The Magic of Two (Love Spell),Saranne Dawson,1999,Love Spell,the magic of two ( love spell ),the magic of two ( love spell ),of ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
0679414150,Quaker Witness,Irene Allen,1993,Villard Books,quaker wit,quaker wit,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8483106914,Maigret En El Picratt's,Georges Simenon,2002,Tusquets,maigret en el picratt 's,maigret en el picratt 's,'s,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1586636715,Spark Notes The House of Seven Gables,Nathaniel Hawthorne,2003,Sparknotes,spark note the hous of seven gabl,spark note the hous of seven gabl,of,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
0373440499,"Regarding Rita (Love & Laughter , No 49)",Gwen Pemberton,1998,Harlequin,"regard rita ( love & laughter , no 49 )","regard rita ( love & laughter , no 49 )","( & , 49 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
037302696X,Kingfisher Morning,Charlotte Lamb,1985,Harlequin,kingfish morn,kingfish morn,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0061000663,A Time to Sing,Sally Mandel,1990,Harper Mass Market Paperbacks (Mm),a time to sing,a time to sing,to,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0385263279,The Flight of the Iguana: A Sidelong View of Science and Nature,David Quammen,1989,Anchor Books/Doubleday,the flight of the iguana : a sidelong view of scienc and natur,the flight of the iguana : a sidelong view of scienc and natur,of the : of and,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0273631667,Frontiers of Fortune: Predicting Capital Prospects and Casualties in the Markets of the Future,Jonathan Story,1999,Financial Times Prentice Hall,frontier of fortun : predict capit prospect and casualti in the market of the futur,frontier of fortun : predict capit prospect and casualti in the market of the futur,of : and in the of the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
0451529065,The Origin of Species,Charles Darwin,2003,Signet Classics,the origin of speci,the origin of speci,of,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
2723430642,"Le DÃ?Â©calogue, tome 1 : Le Manuscrit",Giroud,2001,GlÃ?Â©nat,"le dã ? â©calogu , tome 1 : le manuscrit","le dã ? â©calogu , tome 1 : le manuscrit","? , tome 1 :",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
0806942347,Native American Astrology: The Wisdom Of The Four Winds,Winfried Noe,1998,Sterling Publishing,nativ american astrolog : the wisdom of the four wind,nativ american astrolog : the wisdom of the four wind,:,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0375503935,Magic Terror: Seven Tales,Peter Straub,2000,Random House Trade,magic terror : seven tale,magic terror : seven tale,:,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
0345303709,King of the Confessors,Thomas Hoving,1982,Ballantine Books,king of the confessor,king of the confessor,of the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0802135951,Crush: An Erotic Novel,Cecile De LA Baume,1999,Grove Press,crush : an erot novel,crush : an erot novel,:,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
0590129783,Pioneer Sisters (A Little House Chapter Book),Laura Ingalls Wilder,1997,Scholastic,pioneer sister ( a littl hous chapter book ),pioneer sister ( a littl hous chapter book ),( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
0807009482,Mother to Mother,Sindiwe Magona,1999,Beacon Press,mother to mother,mother to mother,to,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
9688531049,La Funcion del Orgasmo,Wilhelm Reich,1998,Paidos Mexico,la funcion del orgasmo,la funcion del orgasmo,del,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0451459369,The Scoundrel Worlds (Star Risk Ltd),Chris Bunch,2003,Roc,the scoundrel world ( star risk ltd ),the scoundrel world ( star risk ltd ),( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
0253204232,Beyond the Veil: Male-Female Dynamics in a Modern Muslim Society,Fatima Mernissi,1987,Indiana University Press,beyond the veil : male-femal dynam in a modern muslim societi,beyond the veil : male-femal dynam in a modern muslim societi,the : in a,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0140064311,The Vatican Rip,Jonathan Gash,1983,Penguin Books,the vatican rip,the vatican rip,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0060595086,New York Minute: There's Something About Roxy (Sequel) (New York Minute),Mary-Kate & Ashley Olsen,2004,HarperEntertainment,new york minut : there 's someth about roxi ( sequel ) ( new york minut ),new york minut : there 's someth about roxi ( sequel ) ( new york minut ),: 's ( ) ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
0385494718,"The Hidden Connections: Integrating The Biological, Cognitive, And Social Dimensions Of Life Into A Science Of Sustainability",Fritjof Capra,2002,Doubleday Books,"the hidden connect : integr the biolog , cognit , and social dimens of life into a scienc of sustain","the hidden connect : integr the biolog , cognit , and social dimens of life into a scienc of sustain",": , ,",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
